BestellungID;KundeID;VereinsPartnerID;Kreditkarte;GueltigBis;KKFirma;Kaufdatum;ProduktID;Menge;Preis;Rabatt
RS0001935;;Blaetterglueck;;;;01.10.2018;34;12;280,65;
RS0001936;;Blaetterglueck;;;;01.10.2018;28;46;26,89;
RS0001937;;Blaetterglueck;;;;01.10.2018;21;33;95,16;
RS0001938;;Blaetterglueck;;;;01.10.2018;47;44;392,54;
RS0001938;;Blaetterglueck;;;;01.10.2018;34;12;280,65;
RS0001939;;Blaetterglueck;;;;01.10.2018;12;20;307,78;
RS0001940;;Blaetterglueck;;;;01.10.2018;85;1;483,86;
RS0001941;;Blaetterglueck;;;;01.10.2018;65;11;195,34;
RS0001942;;Blaetterglueck;;;;01.10.2018;114;39;32,89;
RS0001943;;Blaetterglueck;;;;01.10.2018;97;24;33,89;
RS0001943;;Blaetterglueck;;;;01.10.2018;28;46;26,89;
RS0001944;;Blaetterglueck;;;;01.10.2018;118;30;314,73;
RS0001945;;Blaetterglueck;;;;01.10.2018;71;42;142,11;
RS0001946;;Blaetterglueck;;;;01.10.2018;29;9;48,28;
RS0001947;;Blaetterglueck;;;;01.10.2018;65;43;260,20;
RS0001948;;Blaetterglueck;;;;01.10.2018;77;14;100,53;
RS0001948;;Blaetterglueck;;;;01.10.2018;21;33;95,16;
RS0001948;;Blaetterglueck;;;;01.10.2018;106;33;496,88;
RS0001949;;Blaetterglueck;;;;01.10.2018;19;38;39,89;
RS0001950;;Blaetterglueck;;;;01.10.2018;93;38;442,42;
RS0001951;;Blaetterglueck;;;;01.10.2018;105;23;433,87;
RS0001952;;Blaetterglueck;;;;01.10.2018;93;40;391,48;
RS0001953;;Blaetterglueck;;;;01.10.2018;11;46;360,14;
RS0001953;;Blaetterglueck;;;;01.10.2018;47;44;392,54;
RS0001953;;Blaetterglueck;;;;01.10.2018;86;15;81,92;
RS0001954;;Blaetterglueck;;;;01.10.2018;10;15;167,72;
RS0001955;;Blaetterglueck;;;;01.10.2018;74;19;256,83;
RS0001956;;Blaetterglueck;;;;01.10.2018;109;18;46,89;
RS0001957;;Blaetterglueck;;;;01.10.2018;94;39;410,58;
RS0001958;;Blaetterglueck;;;;01.10.2018;104;6;461,67;
RS0001958;;Blaetterglueck;;;;01.10.2018;12;20;307,78;
RS0001958;;Blaetterglueck;;;;01.10.2018;71;34;122,13;
RS0001958;;Blaetterglueck;;;;01.10.2018;77;11;208,87;
RS0001959;;Blaetterglueck;;;;01.10.2018;110;18;49,89;
RS0001960;;Blaetterglueck;;;;01.10.2018;67;44;50,89;
RS0001961;;Blaetterglueck;;;;01.10.2018;22;6;330,14;
RS0001962;;Blaetterglueck;;;;01.10.2018;40;15;199,75;
RS0001963;;Blaetterglueck;;;;01.10.2018;86;32;25,59;
RS0001963;;Blaetterglueck;;;;01.10.2018;85;1;483,86;
RS0001963;;Blaetterglueck;;;;01.10.2018;28;43;279,44;
RS0001964;;Blaetterglueck;;;;01.10.2018;79;3;442,17;
RS0001965;;Blaetterglueck;;;;01.10.2018;71;42;234,27;
RS0001966;;Blaetterglueck;;;;01.10.2018;31;44;230,80;
RS0001967;;Blaetterglueck;;;;01.10.2018;87;34;476,91;
RS0001968;;Blaetterglueck;;;;01.10.2018;91;13;170,01;
RS0001968;;Blaetterglueck;;;;01.10.2018;65;11;195,34;
RS0001969;;Blaetterglueck;;;;01.10.2018;73;26;347,86;
RS0001970;;Blaetterglueck;;;;01.10.2018;19;46;394,82;
RS0001971;;Blaetterglueck;;;;01.10.2018;49;37;374,78;
RS0001972;;Blaetterglueck;;;;01.10.2018;64;17;479,49;
RS0001973;;Blaetterglueck;;;;01.10.2018;47;46;63,89;
RS0001973;;Blaetterglueck;;;;01.10.2018;114;39;32,89;
RS0001973;;Blaetterglueck;;;;01.10.2018;102;5;216,84;
RS0001973;;Blaetterglueck;;;;01.10.2018;50;26;87,65;
RS0001974;;Blaetterglueck;;;;01.10.2018;95;1;64,89;
RS0001975;;Blaetterglueck;;;;01.10.2018;112;45;284,02;
RS0001976;;Blaetterglueck;;;;01.10.2018;70;38;112,19;
RS0001977;;Blaetterglueck;;;;01.10.2018;113;4;67,89;
RS0001978;;Blaetterglueck;;;;01.10.2018;86;18;68,89;
RS0001978;;Blaetterglueck;;;;01.10.2018;97;24;33,89;
RS0001978;;Blaetterglueck;;;;01.10.2018;123;12;360,34;
RS0001979;;Blaetterglueck;;;;01.10.2018;112;23;27,28;
RS0001980;;Blaetterglueck;;;;01.10.2018;37;33;467,82;
RS0001981;;Blaetterglueck;;;;01.10.2018;24;45;344,51;
RS0001982;;Blaetterglueck;;;;01.10.2018;44;48;314,14;
RS0001983;;Blaetterglueck;;;;01.10.2018;113;36;376,55;
RS0001983;;Blaetterglueck;;;;01.10.2018;118;30;314,73;
RS0001983;;Blaetterglueck;;;;01.10.2018;119;32;116,88;
RS0001984;;Blaetterglueck;;;;01.10.2018;28;48;74,89;
RS0001985;;Blaetterglueck;;;;01.10.2018;84;24;432,37;
RS0001986;;Blaetterglueck;;;;01.10.2018;87;13;49,26;
RS0001987;;Blaetterglueck;;;;01.10.2018;112;36;195,14;
RS0001988;;Blaetterglueck;;;;01.10.2018;14;39;387,66;
RS0001988;;Blaetterglueck;;;;01.10.2018;71;42;142,11;
RS0001989;;Blaetterglueck;;;;01.10.2018;116;31;175,49;
RS0001990;;Blaetterglueck;;;;01.10.2018;45;3;112,57;
RS0001991;;Blaetterglueck;;;;01.10.2018;46;31;81,89;
RS0001992;;Blaetterglueck;;;;01.10.2018;23;7;82,89;
RS0001993;;Blaetterglueck;;;;01.10.2018;32;25;374,89;
RS0001993;;Blaetterglueck;;;;01.10.2018;29;9;48,28;
