WohnHistID;KundeID;Von;Bis;Strasse;Hausnummer;Adresszusatz;Plz;Ort;Land
1;1;09.04.1998;18.03.1999;Neusser Straße;197;;31547;Rehburg-Loccum;
301;1;19.03.1999;03.11.2020;Hohes Feld;113;;96358;Teuschnitz;
601;1;04.11.2020;;Hohenrother Straße;13;;91126;Kammerstein;
2;2;19.10.1975;21.01.2017;Haulingort;186;;75446;Wiernsheim;
302;2;22.01.2017;17.04.2018;Niedenstraße;85;;26556;Nenndorf;
602;2;18.04.2018;;Bäckergasse;82;;69151;Neckargemünd;
3;3;24.07.1990;30.01.1992;Vogesenstraße;175;;55595;Allenfeld;
303;3;31.01.1992;19.01.2016;Reeswinkeler Weg;133;;26725;Emden;
603;3;20.01.2016;;Zur Hohley;33;;39638;Wiepke;
4;4;08.09.1994;07.02.2003;Stauffenbergring;143;;25920;Stedesand;
304;4;08.02.2003;17.10.2008;Mühlengasse;90;;35279;Neustadt;
604;4;18.10.2008;;Wasserstraße;51;;39110;Magdeburg;
5;5;18.09.2015;30.08.2016;Walter-Liebig-Straße;40;;21727;Estorf;
305;5;31.08.2016;03.10.2019;Stubenrauchstraße;20;;57648;Unnau;
605;5;04.10.2019;;Försterweg;31;;54597;Feuerscheid;
6;6;16.09.1995;06.11.2004;Elzerstraße;26;;94513;Schönberg;
306;6;07.11.2004;09.06.2019;Hirzener Straße;86;;54612;Lasel;
606;6;10.06.2019;;Ernst-Moritz-Arndt-Straße;76;;25770;Hemmingstedt;
7;7;21.04.1976;11.02.2003;Bitburger Straße;55;;49661;Cloppenburg;
307;7;12.02.2003;18.01.2005;Zur Hohley;25;;56244;Goddert;
607;7;19.01.2005;;Auf dem Köllenhof;190;;93109;Wiesent;
8;8;24.09.2007;08.09.2008;Pastor-Sanders-Weg;155;;72589;Westerheim;
308;8;09.09.2008;18.03.2012;Scharnhorststraße;124;;86926;Greifenberg;
608;8;19.03.2012;;Waldheideweg;93;;76479;Steinmauern;
9;9;12.11.1979;22.07.2008;Kalfstraße;144;;89191;Nellingen;
309;9;23.07.2008;30.10.2012;Im Winkel;6;;55606;Heimweiler;
609;9;31.10.2012;;Zechenstraße;143;;22946;Grande;
10;10;09.02.2003;01.11.2004;Im Strötchen;71;;21789;Wingst;
310;10;02.11.2004;24.12.2014;Walkenbrügger Weg;62;;63073;Offenbach am Main;
610;10;25.12.2014;;Akazienstraße;133;;45661;Recklinghausen;
11;11;28.12.1983;29.10.2004;Am Schorenberg;118;;87645;Schwangau;
311;11;30.10.2004;18.10.2005;Kiefernweg;37;;25842;Langenhorn;
611;11;19.10.2005;;Clara-Zetkin-Straße;102;;76477;Elchesheim-Illingen;
12;12;05.06.1977;25.05.1978;Am Eulenhorst;32;;65624;Altendiez;
312;12;26.05.1978;11.10.2010;Buchenende;164;;73560;Böbingen an der Rems;
612;12;12.10.2010;;Schwabenstraße;14;;25832;Tönning;
13;13;06.08.1974;04.05.1985;Brüsseler Straße;200;;82389;Böbing;
313;13;05.05.1985;25.04.1986;Sommerkamp;72;;56299;Ochtendung;
613;13;26.04.1986;;Bürgerweg;149 c;;37194;Wahlsburg;
14;14;21.12.1989;12.12.1990;Am Wasserstollen;26;;37077;Göttingen;
314;14;13.12.1990;29.09.1992;Nistertalstraße;97;;55481;Reckershausen;
614;14;30.09.1992;;Richard-Strauß-Straße;187;;76337;Waldbronn;
15;15;02.07.1990;24.06.1991;Koppelstraße;55a;;34253;Lohfelden;
315;15;25.06.1991;12.04.1993;Stadtring;117;;54636;Scharfbillig;
615;15;13.04.1993;;Kastellauner Straße;124 c;;16225;Eberswalde;
16;16;20.08.1993;02.11.2001;Damiansweg;61;;12347;Britz;
316;16;03.11.2001;27.10.2002;Am Heekeren;11;;49610;Quakenbrück;
616;16;28.10.2002;;Laerer Straße;53;;24988;Oeversee;
17;17;27.06.1988;21.06.1989;Roeserberg;76;;78564;Wehingen;
317;17;22.06.1989;15.08.2019;Räuschelstraße;65;;74229;Oedheim;
617;17;16.08.2019;;Im Heidchen;2;;56653;Wassenach;
18;18;30.04.1987;25.01.2004;Ossenbruch;162b;;75242;Neuhausen;
318;18;26.01.2004;20.01.2005;Im Kloster;33;;35606;Solms;
618;18;21.01.2005;;Hallerstraße;103;;86660;Tapfheim;
19;19;12.01.1986;08.01.1987;Rauenberg;178;;45897;Gelsenkirchen;
319;19;09.01.1987;18.11.2014;Im Büchel;152;;84539;Ampfing;
619;19;19.11.2014;;Edisonstraße;149;;55483;Heinzenbach;
