KundeID;VereinsPartnerID;Vorname;Name;Geschlecht;Geburtsdatum;Telefon;Mobil;Email;Kreditkarte;GueltigBis;KKFirma
1;;Emmaliese;Medina;w;18.10.1995;06753/65916995;0159/6448938;e_95@company.none;0000 7466 6923 0000;03/13;VISA
2;;Steffen;Katz;;25.10.2009;;0164/3633985;steffen_katz@bestmail.none;0000 0968 0523 2800;01/15;VISA
3;GlückAuf;Karlo;Wieland;;13.09.1938;02692/83118037;0165/7430575;k-wieland@private.none;0000 2574 3517 4000;08/90;Mastercard
4;;Siegfried;Wolk;m;17.05.2020;04441/45086066;0167/6560685;siegfriedwolk@funmail.none;0000 3966 0700 2400;09/18;Mastercard
5;Ruhrmorig;Pankratius;Eichberger;m;01.12.1973;;0167/3312963;pankratius.eichberger@open-mail.none;0000 2350 9612 0600;11/16;American Express
6;;Leoni;Peuker;w;05.11.1976;06542/8898003;0158/7935398;leoni_peuker@justmail.none;0000 7985 0501 0000;12/05;American Express
7;Blaetterglueck;Bettina;Pilgrim;w;25.01.1967;04533/19946621;0163/9688384;bettina-pilgrim@anymail.none;0000 0225 6916 3300;06/13;Mastercard
8;WochenendGLück;Karin;Hübler;w;17.04.1970;0671/21250949;0177/3624772;karin-1970@xyz.none;0000 6429 2400 2400;09/12;Mastercard
9;;Amy;Taubert;;24.05.1952;06323/75542091;0173/3230382;a1952@mymail.none;0000 8483 0500 0000;07/02;Mastercard
10;Druff1848;Elgine;Röhrle;w;22.03.1912;;;elgineroehrle@quickmail.none;0000 8487 0962 1400;08/17;Mastercard
11;;Hildburga;Marin;w;14.02.1946;;0152/3695675;hildburga_marin@quickmail.none;0000 4768 0642 2200;04/21;VISA
12;;Elgine;Tams;w;14.09.1981;06674/61178929;0174/9706169;elgine-tams@anymail.none;0000 3182 0640 3800;01/10;VISA
13;VolleRose;Lana;Soika;w;11.11.1915;;;lana_soika@bestmail.none;0000 5310 0900 0000;01/01;VISA
14;;Fred;Metzdorf;;17.07.1919;0203/33519563;;fred19@kitty.none;0000 9574 3500 0000;05/73;VISA
15;;Sanna;Nimz;w;07.08.1929;08063/80783528;;sanna-nimz@funmail.none;0000 7228 2915 5100;05/17;VISA
16;GlückAuf;Alinde;Rühling;w;10.03.1975;05905/19958701;0150/3217238;a-ruehling@bestmail.none;0000 1551 1519 1900;07/01;Mastercard
17;;Carin;Jan;w;14.07.1979;06571/56142222;0164/8364496;c_jan@bestmail.none;0000 2766 4327 0000;06/93;Mastercard
18;Ruhrmorig;Annetrude;Lühr;w;26.07.1921;07844/17363580;0154/1485056;aluehr@retromail.none;0000 7772 1697 6400;02/19;VISA
19;Blaetterglueck;Fridulf;Domes;m;17.02.1996;03923/49177555;;fridulfdomes@goggle-mail.none;0000 1268 0523 2800;02/18;VISA
20;;Valerie;Rolf;w;12.08.1990;07345/60576343;;valerie-rolf@kitty.none;0000 4820 7300 0700;10/97;Mastercard
21;WochenendGLück;Gerheide;Haarmann;w;09.04.1942;09971/83377112;0165/2897996;gerheide_42@live-mail.none;0000 5054 2900 0000;12/87;American Express
22;;Christhild;Scherrer;w;27.06.1966;02602/26168121;0169/8014927;christhild.scherrer@bestmail.none;0000 7337 0400 4400;01/19;VISA
23;Druff1848;Arnbert;Tietje;m;19.09.1988;0591/59644531;0159/3358890;arnbert-1988@web.none;0000 3428 0699 9400;11/09;American Express
24;;Ben;Trojan;m;29.03.1981;09134/26557007;0150/6679640;ben_trojan@goggle-mail.none;0000 1072 2515 2000;01/89;VISA
25;VolleRose;Rochus;Pfister;;19.12.1969;09965/44889098;0169/2055638;rochus.pfister@xyz.none;0000 5476 0694 6800;03/21;VISA
26;;Melisande;Lohmüller;w;26.12.2010;06564/32915070;0161/3056964;melisande-lohmueller@hoster.none;0000 4231 0108 3300;01/93;VISA
27;;Rosegunde;Wolter;w;03.03.1983;06431/91531796;0157/7637035;rosegundewolter@open-mail.none;0000 1760 0501 0100;03/15;VISA
28;Ruhrmorig;Carola;Ostermeier;w;07.10.1905;06551/50428822;0171/3461070;c-ostermeier@justmail.none;0000 7968 4522 9000;07/93;Mastercard
29;GlückAuf;Ambrosius;Mertins;;09.01.1978;04822/66724939;0172/2642168;a.mertins@ultramail.none;0000 8750 8623 1100;04/91;VISA
30;;Wittmar;Schrader;;13.02.1937;07232/51842551;0157/7243767;wittmar_schrader@spam-mail.none;0000 7773 4500 0000;08/10;Mastercard
31;Ruhrmorig;Reinhold;Baisch;m;04.08.1960;;0159/9950654;rbaisch@retromail.none;0000 0779 3530 9000;07/18;Mastercard
32;Blaetterglueck;Celia;Strittmatter;w;07.12.2020;;0166/6077249;c.strittmatter@anymail.none;0000 4170 0543 0600;05/99;VISA
33;;Lothar;Lloyd;d;12.12.2009;04773/8276789;0168/4621067;lothar_lloyd@quickmail.none;0000 0285 0503 0000;02/84;VISA
34;WochenendGLück;Edelgard;Becherer;w;31.08.1924;06201/9462228;0169/7161130;e-1924@domain.none;0000 0365 0501 1000;04/19;VISA
35;;Hans;Baumstark;m;21.01.2020;02753/84805400;0150/2469028;hans.baumstark@quickmail.none;0000 1937 0502 9900;10/06;Mastercard
36;Druff1848;Volkward;Weihe;m;20.05.1908;06375/7123388;0178/6864157;volkwardweihe@live-mail.none;0000 1072 0621 5200;01/21;VISA
37;;Ottilie;Kratz;w;08.11.2017;;0162/4702019;ottilie-kratz@net-mail.none;0000 8556 0900 0000;12/93;American Express
38;VolleRose;Siegrid;Jungmann;d;05.06.2017;02181/30012851;0169/5393762;siegrid2017@domain.none;0000 2226 9513 1100;11/13;American Express
39;;Ruthilde;Hämmerle;w;15.03.1986;05943/5004255;0161/3416088;ruthilde.haemmerle@email.none;0000 7460 0501 0100;05/15;VISA
40;;Heideliese;Reifenrath;w;01.09.1952;0671/57677112;0158/1393829;hreifenrath@trashmail.none;0000 4183 0505 0500;08/20;Mastercard
41;;Arkadius;Mansfeld;m;04.08.1972;;0159/4049900;arkadius.mansfeld@kitty.none;0000 5828 0210 0200;06/08;Mastercard
42;GlückAuf;Nadja;Joseph;w;27.01.1902;03883/90524820;0172/3681988;nadja.joseph@quickmail.none;0000 4566 2614 1600;06/93;Mastercard
43;;Helena;Pauli;w;18.11.1971;08392/37548890;0153/6302491;helena-pauli@net-mail.none;0000 8351 0500 1500;05/20;VISA
44;Ruhrmorig;Ewalda;Carmen;w;10.10.1945;;0177/9629711;ewaldacarmen@spam-mail.none;0000 8567 0700 2400;10/03;Mastercard
45;Blaetterglueck;Adi;Thier;m;21.09.1996;07302/65403365;;a1996@ultramail.none;0000 2913 0700 0000;06/14;Mastercard
46;;Lore;Prokop;w;10.06.2013;04639/13387453;0154/2552601;l-prokop@net-mail.none;0000 5659 1900 0000;10/75;Mastercard
47;WochenendGLück;Karolin;Simon;w;20.09.1954;06266/42926642;0179/5941206;karolin.simon@spam-mail.none;0000 2221 8900 2200;03/17;VISA
